"","Gene","Clinical.feature","Cancer","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","term","comparison","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adj"
"1","ACE2","age.group","ACC","Normal",0,0,"younger","older",NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ACE2","age.group","ACC","Tumor",79,76,"younger","older",NA,NA,NA,68,8,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ACE2","age.group","BLCA","Normal",19,18,"younger","older",NA,NA,NA,5,13,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ACE2","age.group","BLCA","Tumor",408,397,"younger","older",NA,NA,NA,150,247,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",0.171086287857918,5.02151950411117,4.85043321625326,0.798909614599913,0.424947540775733,313.55960936209,-0.250265833715405,0.59243840943124,"Welch Two Sample t-test","two.sided",0.658706938923692
"5","ACE2","age.group","BRCA","Normal",113,111,"younger","older",NA,NA,NA,82,29,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",0.0700020711975746,4.78363315577299,4.71363108457542,0.433346332454188,0.666107962493495,69.3581439868341,-0.252228525854642,0.392232668249791,"Welch Two Sample t-test","two.sided",0.841680877558809
"6","ACE2","age.group","BRCA","Tumor",1084,1062,"younger","older",NA,NA,NA,746,316,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",0.27613744159474,3.28110773630518,3.00497029471044,2.11725760810463,0.0346548231037115,591.354221670243,0.0199903289967389,0.532284554192742,"Welch Two Sample t-test","two.sided",0.266842137898579
"7","ACE2","age.group","CESC","Normal",3,3,"younger","older",NA,NA,NA,2,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ACE2","age.group","CESC","Tumor",304,300,"younger","older",NA,NA,NA,265,35,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",-0.0892470784714972,5.91590685210534,6.00515393057684,-0.290358681818358,0.772915774492828,43.685455826958,-0.708833352025523,0.530339195082529,"Welch Two Sample t-test","two.sided",0.880026319111696
"9","ACE2","age.group","CHOL","Normal",9,9,"younger","older",NA,NA,NA,1,8,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ACE2","age.group","CHOL","Tumor",36,36,"younger","older",NA,NA,NA,17,19,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",-0.269154138765275,6.70836629833522,6.97752043710049,-0.262240223732534,0.794737281510182,33.6022182595702,-2.35588828261056,1.81758000508001,"Welch Two Sample t-test","two.sided",0.880026319111696
"11","ACE2","age.group","COAD","Normal",41,40,"younger","older",NA,NA,NA,11,29,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ACE2","age.group","COAD","Tumor",447,431,"younger","older",NA,NA,NA,170,261,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",0.31726692699791,8.99461260004348,8.67734567304557,1.41448296700931,0.158096659365267,354.977780023261,-0.123854771906181,0.758388625902,"Welch Two Sample t-test","two.sided",0.524952076031917
"13","ACE2","age.group","DLBC","Normal",0,0,"younger","older",NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ACE2","age.group","DLBC","Tumor",48,48,"younger","older",NA,NA,NA,33,15,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",0.264366791813289,1.98950664793465,1.72513985612136,2.49809655323562,0.01640930984736,42.7930387172977,0.0509158655025579,0.477817718124021,"Welch Two Sample t-test","two.sided",0.21058614304112
"15","ACE2","age.group","ESCA","Normal",9,9,"younger","older",NA,NA,NA,2,7,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ACE2","age.group","ESCA","Tumor",161,158,"younger","older",NA,NA,NA,96,62,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",-0.347873057439568,6.01474252296157,6.36261558040114,-0.974095155289452,0.331926399369614,122.659858326623,-1.05479820067941,0.359052085800276,"Welch Two Sample t-test","two.sided",0.603862347630429
"17","ACE2","age.group","GBM","Normal",0,0,"younger","older",NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ACE2","age.group","GBM","Tumor",152,149,"younger","older",NA,NA,NA,95,54,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",0.17381647003134,2.59958105476113,2.42576458472979,1.54802556615233,0.12434391621747,115.837993261578,-0.048576817515989,0.396209757578669,"Welch Two Sample t-test","two.sided",0.479791639663078
"19","ACE2","age.group","HNSC","Normal",44,41,"younger","older",NA,NA,NA,24,17,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",-0.952675204208708,6.12817597996391,7.08085118417262,-2.93640643978754,0.0055467094136852,38.9780557953101,-1.60892024771472,-0.296430160702694,"Welch Two Sample t-test","two.sided",0.10677415621344
"20","ACE2","age.group","HNSC","Tumor",500,485,"younger","older",NA,NA,NA,310,175,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",-0.118998553269082,6.11747115423141,6.23646970750049,-0.78107934054993,0.435275943954225,355.300853886811,-0.418622500437647,0.180625393899483,"Welch Two Sample t-test","two.sided",0.658706938923692
"21","ACE2","age.group","KICH","Normal",24,23,"younger","older",NA,NA,NA,17,6,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ACE2","age.group","KICH","Tumor",65,64,"younger","older",NA,NA,NA,50,14,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ACE2","age.group","KIRC","Normal",72,68,"younger","older",NA,NA,NA,41,27,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",0.385373727053658,9.41240342365185,9.02702969659819,0.663576034382947,0.509356019116448,63.7057681520257,-0.774916833452915,1.54566428756023,"Welch Two Sample t-test","two.sided",0.726303953184565
"24","ACE2","age.group","KIRC","Tumor",530,514,"younger","older",NA,NA,NA,332,182,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",0.00949652444410276,9.52258428535683,9.51308776091273,0.0361240791281731,0.97120426734396,345.782667046413,-0.507560873674161,0.526553922562367,"Welch Two Sample t-test","two.sided",0.983859729756758
"25","ACE2","age.group","KIRP","Normal",32,32,"younger","older",NA,NA,NA,16,16,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",0.626819925928777,10.046953223785,9.4201332978562,0.776610023019764,0.443472712911818,29.9833769079027,-1.02158376922127,2.27522362107882,"Welch Two Sample t-test","two.sided",0.658706938923692
"26","ACE2","age.group","KIRP","Tumor",288,280,"younger","older",NA,NA,NA,172,108,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",-0.0831056371520784,10.5661094334545,10.6492150706066,-0.263591521022452,0.792361761050259,203.231728025448,-0.704748663218345,0.538537388914188,"Welch Two Sample t-test","two.sided",0.880026319111696
"27","ACE2","age.group","LAML","Normal",0,0,"younger","older",NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ACE2","age.group","LAML","Tumor",145,142,"younger","older",NA,NA,NA,101,41,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",-0.221100304899044,1.77362400248712,1.99472430738617,-1.20791806483755,0.233763807170569,42.4605145143248,-0.590376305769039,0.148175695970952,"Welch Two Sample t-test","two.sided",0.580639133939802
"29","ACE2","age.group","LGG","Normal",0,0,"younger","older",NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ACE2","age.group","LGG","Tumor",510,507,"younger","older",NA,NA,NA,475,32,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",-0.314641052076626,2.63816242502947,2.9528034771061,-2.54110280786406,0.0157137584672536,34.4655044254223,-0.566149801798896,-0.0631323023543559,"Welch Two Sample t-test","two.sided",0.21058614304112
"31","ACE2","age.group","LIHC","Normal",50,49,"younger","older",NA,NA,NA,20,29,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",0.117522223335209,6.99036848541751,6.8728462620823,0.288165644860185,0.774971020368056,33.9679347815164,-0.71131425345667,0.946358700127088,"Welch Two Sample t-test","two.sided",0.880026319111696
"32","ACE2","age.group","LIHC","Tumor",371,359,"younger","older",NA,NA,NA,221,138,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",-0.433709193339487,5.01592368789636,5.44963288123585,-1.39197070478588,0.165069241238831,271.793281416795,-1.0471247854098,0.17970639873083,"Welch Two Sample t-test","two.sided",0.524952076031917
"33","ACE2","age.group","LUAD","Normal",59,57,"younger","older",NA,NA,NA,27,30,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",0.156483663916084,5.91456703308826,5.75808336917217,0.954407256662053,0.345064198645959,44.235548824533,-0.173904307884531,0.486871635716699,"Welch Two Sample t-test","two.sided",0.603862347630429
"34","ACE2","age.group","LUAD","Tumor",512,475,"younger","older",NA,NA,NA,219,256,NA,NA,NA,0,0,NA,NA,NA,"age.group","younger-older",-0.547444218764065,6.06895876169495,6.61640298045902,-3.11752751948446,0.0019355856482009,469.986741613771,-0.892506513914539,-0.202381923613592,"Welch Two Sample t-test","two.sided",0.0496800316371563
